Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BH-80B-1",176.9000,-91.3500,90.0000,top
"C1","0.1u","C_Disc_D4.7mm_W2.5mm_P5.00mm",77.1200,-74.5000,-90.0000,top
"C2","470p","C_Disc_D3.8mm_W2.6mm_P2.50mm",77.6200,-82.5000,180.0000,top
"C3","0.1u","C_Disc_D4.7mm_W2.5mm_P5.00mm",127.6000,-99.1000,-135.0000,top
"C4","0.1u","C_Disc_D4.7mm_W2.5mm_P5.00mm",141.6000,-77.0000,0.0000,top
"C5","100u","CP_Radial_D6.3mm_P2.50mm",83.1200,-66.5000,-90.0000,top
"C6","0.1u","C_Disc_D4.7mm_W2.5mm_P5.00mm",164.7000,-83.6000,180.0000,top
"C7","0.1u","C_Disc_D4.7mm_W2.5mm_P5.00mm",141.6000,-72.0000,0.0000,top
"C8","0.1u","C_Disc_D4.7mm_W2.5mm_P5.00mm",168.1000,-97.5000,180.0000,top
"C9","4.7u","CP_Radial_D8.0mm_P3.50mm",105.6200,-72.0000,-90.0000,top
"C10","0.1u","C_Disc_D4.7mm_W2.5mm_P5.00mm",197.6678,-98.8322,-135.0000,top
"C11","0.1u","C_Disc_D4.7mm_W2.5mm_P5.00mm",228.7800,-76.6000,90.0000,top
"C12","0.01u","C_Disc_D4.7mm_W2.5mm_P5.00mm",235.2000,-79.1000,0.0000,top
"C13","0.01u","C_Disc_D4.7mm_W2.5mm_P5.00mm",235.2000,-82.6000,0.0000,top
"C14","0.1u","C_Disc_D4.7mm_W2.5mm_P5.00mm",151.5250,-72.3050,90.0000,top
"C15","0.01u","C_Disc_D4.7mm_W2.5mm_P5.00mm",258.4000,-93.0000,-90.0000,top
"D1","1N914","D_DO-35_SOD27_P7.62mm_Horizontal",82.6200,-86.0000,180.0000,top
"D2","UF4007","D_DO-41_SOD81_P7.62mm_Horizontal",106.7400,-66.5000,180.0000,top
"D3","220","D_DO-15_P10.16mm_Horizontal",116.1200,-87.5000,90.0000,top
"J2","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",77.4750,-71.4000,-90.0000,top
"L1","100u","L_Radial_D8.7mm_P5.00mm_Fastron_07HCP",89.6200,-66.5000,0.0000,top
"Q1","2N3906","TO-92_Inline",86.1200,-86.0000,-90.0000,top
"Q2","IRF644","TO-220-3_Horizontal_TabDown",97.1600,-74.7700,180.0000,top
"R1","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",82.6200,-90.0000,180.0000,top
"R2","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",112.1200,-74.1200,90.0000,top
"R3","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",112.1200,-84.8100,90.0000,top
"R4","R","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",116.1200,-66.5000,-90.0000,top
"R5","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",95.8000,-105.8100,90.0000,top
"R6","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",165.0000,-113.5000,90.0000,top
"R7","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",235.0000,-105.8100,90.0000,top
"R8","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",99.0000,-105.8100,90.0000,top
"R9","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",169.0000,-113.5000,90.0000,top
"R10","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",239.0000,-105.8100,90.0000,top
"R11","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",126.0000,-113.5000,90.0000,top
"R12","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",196.0000,-113.5000,90.0000,top
"R13","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",138.0000,-113.5000,90.0000,top
"R14","15k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",208.0000,-113.5000,90.0000,top
"R15","4.7k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",154.9050,-70.3050,0.0000,top
"R16","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",232.5800,-75.6000,0.0000,top
"R17","4.7k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",154.9050,-67.3050,0.0000,top
"R18","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",232.7000,-86.1000,0.0000,top
"R19","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",232.5800,-72.1000,0.0000,top
"R20","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",230.9300,-89.6995,0.0000,top
"R21","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",241.0300,-89.6995,0.0000,top
"R22","4.7k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",151.5250,-74.6850,-90.0000,top
"R23","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",251.2500,-89.6995,0.0000,top
"RV1","1k","Potentiometer_Bourns_3306P_Vertical",108.1200,-85.0000,90.0000,top
"SW1","RotaryEncoder_Switch","PEC11H4020FS0016",243.7000,-79.3000,-90.0000,top
"U1","4504","DIP-16_W7.62mm",168.2000,-86.9800,-90.0000,top
"U2","MC34063AP","DIP-8_W7.62mm",80.0000,-75.0000,0.0000,top
"U3","HV5222PG-G","PQFP-44_10x10mm_P0.8mm",132.0000,-90.1466,-135.0000,top
"U4","LM7805_TO220","TO-220-3_Horizontal_TabDown",138.6300,-76.9400,90.0000,top
"U5","HV5222PG-G","PQFP-44_10x10mm_P0.8mm",202.0000,-90.0000,-135.0000,top
"U6","ATmega328P-P","DIP-28_W7.62mm",224.6000,-70.6000,-90.0000,top
"U7","DS3231MZ","SOIC-8_3.9x4.9mm_P1.27mm",160.0000,-75.4000,0.0000,top
